,dist_from_root,length,project,leafnode,n_synapse
0,0.035156228141579524,0.007067150329409151,daf-2 dauer,10604491,0
1,0.1558826606161332,0.03203430295291905,L1 0hr,6709029,0
2,0.22340191547913252,0.02517483668496973,daf-2 dauer,10604490,1
3,0.2808914590263222,0.02477219602563019,daf-2 dauer,10610079,3
4,0.35658560888358076,0.019272354612344195,N2 dauer (Stigloher2),9008951,0
5,0.3683534358939324,0.06270076595190537,daf-2 dauer,10610073,0
6,0.3985050627249532,0.06360934963646309,N2 dauer (Stigloher3),9207104,0
7,0.4352249119057107,0.006885975707670094,daf-2 dauer,10604487,0
8,0.492680498532558,0.028922836956424718,N2 dauer (Stigloher2),8761936,0
9,0.49412628312068646,0.033351292626715164,daf-2 dauer,10610070,3
10,0.4989434791465541,0.025076931637804854,daf-2 dauer,10609990,2
11,0.5614480514786364,0.00877119512992336,daf-2 dauer,10609995,0
12,0.5680949553218813,0.0018584628313374945,N2 dauer (Stigloher3),9190944,0
13,0.5971062331649195,0.12633998483877756,L1 5hr,9540814,0
14,0.6235159683821305,0.009611849215354164,N2 dauer (Stigloher3),9599069,0
15,0.6251964657757199,0.018472023885049614,daf-2 dauer,10610064,5
16,0.6330217581149491,0.0070590889328874555,daf-2 dauer,10610061,0
17,0.6595335216069378,0.05452718099887659,TEM adult,8123879,0
18,0.6670123274060377,0.010722244503596207,daf-2 dauer,10604484,1
19,0.689834171205488,0.021933355038822953,N2 dauer (Stigloher3),9599067,0
20,0.694574623244277,0.0031839486386720495,daf-2 dauer,10610060,0
21,0.6963520711514986,0.003994432860938827,N2 dauer (Stigloher3),9190960,0
22,0.7199113140651064,0.10283208071272101,daf-2 dauer,10604477,1
23,0.7419071637376181,0.011046925477919854,daf-2 dauer,10610059,2
24,0.7489808241965689,0.008443440888697498,daf-2 dauer,10610056,0
25,0.7730482271931408,0.0611410059215764,daf-2 dauer,10604444,0
26,0.7895002865856198,0.01797415947614345,L1 8hr,6353347,0
27,0.8265211401763416,0.007172372067204172,daf-2 dauer,10610020,0
28,0.8497025704574689,0.032818970408698855,daf-2 dauer,10604470,0
29,0.8569160829219464,0.039571046106966115,N2 dauer (Stigloher3),9003770,1
30,0.8621081598617999,0.024784515944777347,daf-2 dauer,10604453,0
31,0.8911715130435178,0.03561539802374254,N2 dauer (Stigloher3),9590979,0
32,0.9155504027590178,0.07751500044792432,L1 0hr,6718274,1
33,0.931735840884836,0.0600364691121172,N2 dauer (Stigloher2),8762000,1
34,0.9362127362332917,0.037006610725580674,N2 dauer (Stigloher3),9191000,1
35,0.9384704648046429,0.050245950845907765,daf-2 dauer,10604467,2
36,0.9385574294092909,0.035681456712888145,N2 dauer (Stigloher3),9190996,1
37,0.9571813801736283,0.008198010381316252,N2 dauer (Stigloher2),8982249,0
38,0.9820711022709299,0.002240032127265681,N2 dauer (Stigloher3),9599057,0
39,1.0,0.0,L2,4838030,0
40,1.0,0.0,L3,7081220,0
