Unnamed: 0,connector_id,length,dist_from_root,neuron,project,type,inputs,outputs
16,6374724,0.0,0.7656492580370592,ADFL,121,0,ADFL,"['AIYL', 'AIZL']"
17,6374722,0.0,0.1504905884400712,ADFL,121,0,ADFL,"['RIAL', 'SMBVL']"
0,6375173,0.0,0.3342044464936151,ADFR,121,1,AVHL,"['ADFR', 'AIZR', 'AFDR']"
1,6375380,0.0,0.7447988877645157,ADFR,121,1,AWBR,"['ADFR', 'AIZR']"
2,6375378,0.0,0.5792872003715923,ADFR,121,1,AWBR,"['ADFR', 'AWAR']"
3,6375377,0.0,0.2872063651917095,ADFR,121,1,AWBR,"['SMBVR', 'ADFR']"
4,6375358,0.0222386219465438,0.8926415122542408,ADFR,121,1,AWAR,"['ASER', 'ADFR']"
5,6375179,0.0,0.4258151166115775,ADFR,121,1,AVHL,"['RIR', 'ADFR', 'OLQVR']"
6,6375176,0.0,0.7039807606144224,ADFR,121,1,AVHL,"['ADFR', 'RIR']"
7,6374748,0.0144425180880072,0.2606703417970813,ADFR,121,0,ADFR,['SMBVR']
8,6374746,0.0,0.3266748294812374,ADFR,121,0,ADFR,"['AIZR', 'RIAR']"
9,6374744,0.0,0.571197813414029,ADFR,121,0,ADFR,"['AIZR', 'AWAR']"
10,6374742,0.0,0.571197813414029,ADFR,121,0,ADFR,['AIZR']
11,6374741,0.0,0.7663525212426716,ADFR,121,0,ADFR,"['AIAR', 'ASEL', 'AIZR']"
12,6374738,0.0,0.252685605218613,ADFR,121,0,ADFR,"['AIZR', 'RIAR']"
0,6375353,0.1134521867710371,0.0532519571515231,ADLL,121,1,AWAL,"['SMBVL', 'ADLL']"
1,6375350,0.3929946714009293,0.0532519571515231,ADLL,121,1,AWAL,['ADLL']
2,6374766,0.2014350711018958,0.0532519571515231,ADLL,121,0,ADLL,"['ASEL', 'AIBL']"
3,6374764,0.0296779863274378,0.2475499631748873,ADLL,121,0,ADLL,"['ASKL', 'AWCL']"
4,6374763,0.018988511061845,0.2917819956142757,ADLL,121,0,ADLL,"['AVDL', 'SIADR', 'SIBDR']"
5,6374762,0.0145642749878906,0.0532519571515231,ADLL,121,0,ADLL,"['AWCL', 'AIAL']"
6,6374761,0.0145642749878906,0.0532519571515231,ADLL,121,0,ADLL,['AIAL']
7,6374760,0.1041178484821645,0.0532519571515231,ADLL,121,0,ADLL,"['AIBL', 'ADAL', 'ASEL']"
8,6374759,0.1446587509693821,0.0532519571515231,ADLL,121,0,ADLL,"['ADAL', 'ASEL', 'AIBL']"
9,6374755,0.2475043000984572,0.0532519571515231,ADLL,121,0,ADLL,"['AVDR', 'AIBL']"
10,6374754,0.3929946714009293,0.0532519571515231,ADLL,121,0,ADLL,"['AVJR', 'AVDR']"
11,6374753,0.0,0.6578171653417043,ADLL,121,0,ADLL,"['AWCL', 'AIAL', 'ASKL']"
12,6374752,0.0,0.7111261009565903,ADLL,121,0,ADLL,"['AIAL', 'AWCR', 'AWCL']"
0,6375365,0.4744645489494049,0.0385514947733231,ADLR,121,1,AWAR,"['AWBR', 'ADLR']"
1,6375362,0.2220219867257118,0.0385514947733231,ADLR,121,1,AWAR,"['AWBR', 'ADLR']"
2,6375361,0.1453177187104407,0.0385514947733231,ADLR,121,1,AWAR,"['ASER', 'ADLR']"
3,6375023,0.2852304673924164,0.0385514947733231,ADLR,121,1,ASER,"['AWAR', 'ADLR']"
4,6374778,0.005035837251343,0.0385514947733231,ADLR,121,0,ADLR,['AIAR']
5,6374777,0.0833439658566317,0.0385514947733231,ADLR,121,0,ADLR,"['AIBR', 'ASKR']"
6,6374776,0.1637003816127129,0.0385514947733231,ADLR,121,0,ADLR,"['ASKR', 'AIBR', 'ADAR', 'ASER']"
7,6374774,0.2852304673924164,0.0385514947733231,ADLR,121,0,ADLR,"['ASHR', 'AIBR']"
8,6374773,0.00528423010821,0.2960882140490815,ADLR,121,0,ADLR,"['AVJR', 'AVDR']"
9,6374770,0.0,0.5985129959741826,ADLR,121,0,ADLR,"['ASKR', 'AIAR']"
10,6374769,0.0,0.8513226628221906,ADLR,121,0,ADLR,"['AIAR', 'AIBR']"
11,6374768,0.0,0.8379373904046419,ADLR,121,0,ADLR,['ASKR']
0,6374910,0.0722302816531862,0.8997638495275218,AFDL,121,1,AINR,"['AFDL', 'ASER', 'ASER']"
1,6374907,0.0,0.4346427509119491,AFDL,121,1,AINR,"['AUAL', 'AFDL']"
2,6374903,0.0,0.4601711604047997,AFDL,121,1,AINR,"['ASER', 'AFDL', 'BAGR']"
3,6374914,0.0,0.3690697125437335,AFDL,121,1,AINR,"['BAGR', 'AFDL']"
4,6374782,0.0,0.4601711604047997,AFDL,121,0,AFDL,['AIYL']
5,6374781,0.0,0.8866765767145153,AFDL,121,0,AFDL,['AIYL']
6,6374780,0.0,0.9694393681360224,AFDL,121,0,AFDL,['AIYR']
0,6375173,0.0,0.3409965564281257,AFDR,121,1,AVHL,"['ADFR', 'AIZR', 'AFDR']"
1,6375005,0.0,0.9788395387208784,AFDR,121,1,ASEL,"['AFDR', 'AIYR', 'AIBR']"
2,6374897,0.0,0.4136847124120312,AFDR,121,1,AINL,"['AFDR', 'AUAR']"
3,6374896,0.0,0.4885823837642362,AFDR,121,1,AINL,"['AFDR', 'AUAR']"
4,6374895,0.0,0.5909587794337308,AFDR,121,1,AINL,"['ASEL', 'AFDR']"
5,6374894,0.0,0.92788155668765,AFDR,121,1,AINL,['AFDR']
6,6374791,0.0,0.9087160297789456,AFDR,121,0,AFDR,"['AIYR', 'ASER', 'AIBR']"
7,6374790,0.0,0.9550092694232112,AFDR,121,0,AFDR,['AIYL']
8,6374789,0.0,0.968712632375776,AFDR,121,0,AFDR,['AIYR']
9,6374787,0.0,0.5389643973995516,AFDR,121,0,AFDR,['AIYR']
10,6374786,0.0,0.2620884295018275,AFDR,121,0,AFDR,"['AWCL', 'AIYR']"
0,6646981,0.0,0.9281595594512254,AIAL,121,1,PVQL,"['AIAL', 'ASKL']"
1,6646980,0.0,0.5297228578861338,AIAL,121,1,PVQL,"['AIAL', 'ASKL', 'ASJL']"
2,6646978,0.0,0.2089731314318081,AIAL,121,1,PVQL,"['AIAL', 'AIML']"
3,6375415,0.0,0.5064048144976626,AIAL,121,1,AWCR,"['AIAL', 'AWCL']"
4,6375400,0.0,0.9381881408012288,AIAL,121,1,AWCL,['AIAL']
5,6375399,0.0,0.9109519055768132,AIAL,121,1,AWCL,"['ASER', 'AIAL', 'AIBL']"
6,6375385,0.0191181726041586,0.3548661780283454,AIAL,121,1,AWCL,"['AIBL', 'AIAL']"
7,6375403,0.0259593390788152,0.5582787327141058,AIAL,121,1,AWCL,['AIAL']
8,6375133,0.014047279963896,0.5582787327141058,AIAL,121,1,ASKL,['AIAL']
9,6375132,0.0,0.9695236618470792,AIAL,121,1,ASKL,['AIAL']
10,6375129,0.0280416367830245,0.5582787327141058,AIAL,121,1,ASKL,['AIAL']
11,6375128,0.0,0.5246588435507107,AIAL,121,1,ASKL,"['ADAL', 'AIAL']"
12,6375127,0.0,0.9463204951245822,AIAL,121,1,ASKL,['AIAL']
13,6375126,0.0,0.952130437008266,AIAL,121,1,ASKL,['AIAL']
14,6375087,0.0019523263620176,0.5582787327141058,AIAL,121,1,ASIL,"['AIAL', 'AWCL']"
15,6375057,0.0,0.4699466324003757,AIAL,121,1,ASHL,"['AIAL', 'ASKL']"
16,6375054,0.0,0.3548661780283454,AIAL,121,1,ASHL,"['AIBL', 'AIAL']"
17,6375048,0.0,0.4762247695466245,AIAL,121,1,ASHL,['AIAL']
18,6375047,0.0,0.3237321533158722,AIAL,121,1,ASHL,"['AIAL', 'AIBL']"
19,6375035,0.0,0.2905034033154967,AIAL,121,1,ASGL,['AIAL']
20,6375033,0.0,0.2971814455348699,AIAL,121,1,ASGL,['AIAL']
21,6375032,0.0,0.3237321533158722,AIAL,121,1,ASGL,"['AIAL', 'AWCL']"
22,6375031,0.0,0.3548661780283454,AIAL,121,1,ASGL,"['AIBL', 'AIAL']"
23,6375030,0.0,0.5278461607345908,AIAL,121,1,ASGL,"['AIAL', 'AIML']"
24,6375029,0.0,0.2644290987643068,AIAL,121,1,ASGL,['AIAL']
25,6374966,0.0286126400956326,0.6225612167952691,AIAL,121,1,AIZL,"['AIAL', 'AIAL', 'AIBL']"
26,6374966,0.0,0.5317285741561345,AIAL,121,1,AIZL,"['AIAL', 'AIAL', 'AIBL']"
27,6374883,0.0,0.2848172896705509,AIAL,121,1,AIML,"['AIAL', 'ASGL']"
28,6374882,0.0,0.3237321533158722,AIAL,121,1,AIML,"['AIAL', 'ASGL']"
29,6374881,0.0,0.3548661780283454,AIAL,121,1,AIML,['AIAL']
30,6374880,0.0,0.5297228578861338,AIAL,121,1,AIML,"['AIAL', 'ASGL']"
31,6374878,0.0019523263620176,0.5582787327141058,AIAL,121,1,AIML,['AIAL']
32,6374810,0.0,0.7644880973545778,AIAL,121,0,AIAL,"['AIBL', 'ASKL']"
33,6374809,0.0,0.8637176495032034,AIAL,121,0,AIAL,"['AWCR', 'AWCL']"
34,6374808,0.0,0.8754900829566752,AIAL,121,0,AIAL,"['PVQL', 'AIBL']"
35,6374807,0.0,0.9281595594512254,AIAL,121,0,AIAL,"['AIBL', 'AWCL']"
36,6374806,0.014047279963896,0.5582787327141058,AIAL,121,0,AIAL,['AWCL']
37,6374804,0.0,0.5278461607345908,AIAL,121,0,AIAL,"['AIBL', 'ADAL']"
38,6374803,0.0,0.5064048144976626,AIAL,121,0,AIAL,"['AWCR', 'AIBL']"
39,6374802,0.0,0.4843992145131728,AIAL,121,0,AIAL,"['ASKL', 'ASHL', 'AIBL']"
40,6374801,0.0,0.4762247695466245,AIAL,121,0,AIAL,['ASGL']
41,6374800,0.0,0.2848172896705509,AIAL,121,0,AIAL,"['AIBL', 'ASKL', 'ADAL', 'RIFL']"
42,6374792,0.0,0.2725276987289579,AIAL,121,0,AIAL,"['ADAL', 'AIBL', 'RIFL']"
43,6374762,0.0668588005723113,0.5582787327141058,AIAL,121,1,ADLL,"['AWCL', 'AIAL']"
44,6374761,0.0280416367830245,0.5582787327141058,AIAL,121,1,ADLL,['AIAL']
45,6374753,0.0,0.9575277315904774,AIAL,121,1,ADLL,"['AWCL', 'AIAL', 'ASKL']"
46,6374752,0.0,0.982245097662873,AIAL,121,1,ADLL,"['AIAL', 'AWCR', 'AWCL']"
0,6374741,0.0,0.7422093372637409,AIAR,121,1,ADFR,"['AIAR', 'ASEL', 'AIZR']"
1,6646985,0.0,0.8882595827509439,AIAR,121,1,PVQR,"['AIAR', 'ASKR']"
