synapse_id,length,dist_from_root,reference_neuron,dataset,inputs,outputs
9595809,0.0,0.7046156498882196,IL1DL,N2 dauer (Stigloher3),IL1DL,"['RMDVL', 'BWMDL02']"
9595806,0.0,0.3563903990318249,IL1DL,N2 dauer (Stigloher3),IL1DL,['URYDL']
9587892,0.0031202973545241,0.8420525887216062,IL1DL,L1 5hr,URYDL,"['IL1DL', 'RMDVL', 'RMDDR']"
9587840,0.0,0.8420525887216062,IL1DL,L1 5hr,URADL,"['RMEL', 'IL1DL', 'BWMDL01', 'RIPL']"
9587544,0.0,0.2412079720221098,IL1DL,L1 5hr,RIGL,"['URYDL', 'OLQDL', 'IL1DL']"
9587485,0.0,0.7982083579408615,IL1DL,L1 5hr,IL1DL,"['RMEL', 'RIPL', 'BWMDL02', 'RMDVL']"
9585096,0.0,0.7909352282620226,IL1DL,L1 5hr,IL1DL,"['RIPL', 'BWMDL01', 'RMDVL']"
9585095,0.0,0.749596284475336,IL1DL,L1 5hr,IL1DL,"['RMDVL', 'RIPL']"
9585094,0.0,0.7184564983896948,IL1DL,L1 5hr,IL1DL,"['BWMDL02', 'RIPL', 'RMDVL']"
9585092,0.0,0.8353105427621721,IL1DL,L1 5hr,IL1DL,"['RMDVL', 'RMEL', 'RIPL', 'BWMDL01']"
9585004,0.0,0.5153936351947034,IL1DL,L1 5hr,CEPDL,"['RICL', 'ADAL', 'URYDL', 'OLQDL', 'IL1DL']"
11441086,0.0,0.7898695534669815,IL1DL,daf-2 dauer,RMDVL,"['IL1L', 'RMDDR', 'IL1DL']"
11441071,0.0,0.934846909153108,IL1DL,daf-2 dauer,IL1DL,"['URBL', 'URADL']"
11440940,0.0262421243277133,0.7832708273903943,IL1DL,daf-2 dauer,URYDL,"['RMDVL', 'IL1DL']"
11440046,0.0,0.7580513267901926,IL1DL,daf-2 dauer,OLQDL,"['RMDDR', 'RMDVL', 'IL1DL']"
11439931,0.0823124010811914,0.7832708273903943,IL1DL,daf-2 dauer,URADL,"['BWMDL03', 'IL2DL', 'IL1DL', 'RIPL']"
11439687,0.0,0.9470922443594368,IL1DL,daf-2 dauer,IL1L,"['IL1DL', 'RMHR']"
11439625,0.00401907490269,0.9137868970519696,IL1DL,daf-2 dauer,OLLL,"['IL1VL', 'IL1DL', 'URBL']"
11439526,0.1190699413969878,0.7832708273903943,IL1DL,daf-2 dauer,IL1DL,"['BWMDL03', 'RMDVL']"
11439524,0.1059697587059248,0.7832708273903943,IL1DL,daf-2 dauer,IL1DL,"['OLLL', 'SMDDR']"
11439523,0.0,0.8225120323984352,IL1DL,daf-2 dauer,IL1DL,"['IL1L', 'RMHR']"
11439522,0.0,0.934846909153108,IL1DL,daf-2 dauer,IL1DL,"['RMDVL', 'IL1L', 'RMHR']"
10934589,0.0823124010811914,0.7832708273903943,IL1DL,daf-2 dauer,OLQDL,"['IL1DL', 'RMDVL', 'RMDDR']"
11260082,0.0141179146533165,0.95214071554709,IL1DL,daf-2 dauer,IL1DL,"['URBL', 'URADL']"
11260080,0.0196300501259351,0.95214071554709,IL1DL,daf-2 dauer,IL1DL,"['RMHR', 'URADL']"
11260079,0.0196300501259351,0.95214071554709,IL1DL,daf-2 dauer,IL1DL,"['RMHR', 'URBL']"
10941192,0.0,0.54684758520217,IL1DL,daf-2 dauer,RICR,"['IL2DL', 'IL1DL', 'AVBL']"
10934591,0.0,0.8287777072794745,IL1DL,daf-2 dauer,OLQDL,"['IL1DL', 'RMDVL', 'URYDL']"
10934542,0.00401907490269,0.9137868970519696,IL1DL,daf-2 dauer,OLLL,"['IL1DL', 'RMEL', 'OLQDL']"
10934460,0.1239256516612508,0.7832708273903943,IL1DL,daf-2 dauer,IL1DL,['SMDDR']
10934459,0.0,0.7682700761134749,IL1DL,daf-2 dauer,IL1DL,"['BWMDL02', 'BWMDL01', 'RMDVL']"
4499853,0.0,0.3831859732711657,IL1DR,L1 16hr,CEPDR,['IL1DR']
4500506,0.0,0.5160933599427172,IL1DR,L1 16hr,IL1DR,"['BWM-DR02', 'RIPR', 'RMDVR', 'RMER']"
4502168,0.0376367338934275,0.5533358033099155,IL1DR,L1 16hr,IL2DR,['IL1DR']
4506406,0.0,0.6330976420518818,IL1DR,L1 16hr,IL1DR,"['BWM-DR01', 'RIPR']"
4506579,0.0,0.3799279123570078,IL1DR,L1 16hr,PVR,['IL1DR']
4507346,0.0,0.7095648639417543,IL1DR,L1 16hr,URADR,['IL1DR']
4507359,0.0738073118197683,0.5533358033099155,IL1DR,L1 16hr,URADR,['IL1DR']
4509135,0.0,0.5093412684120915,IL1DR,L1 16hr,IL1DR,"['BWM-DR01', 'BWM-DR02', 'RMDVR']"
5037488,0.0,0.7849875421435561,IL1DR,L2,URADR,"['BWMDR02', 'BWMDR01', 'IL1DR', 'RIPR']"
5037484,0.0,0.841732309360293,IL1DR,L2,URADR,"['BWMDR01', 'RIPR', 'IL1DR', 'RMER']"
5034139,0.0,0.5901709254729341,IL1DR,L2,PVR,"['RIPR', 'IL1DR']"
5034137,0.0,0.5790738789299482,IL1DR,L2,PVR,"['RIPR', 'IL1DR']"
5032831,0.0408516997376896,0.7676953869241196,IL1DR,L2,IL2DR,"['RIPR', 'URADR', 'IL1DR']"
5032809,0.0120166960513555,0.8721739530360388,IL1DR,L2,IL1DR,"['RIPR', 'BWMDR01', 'RMDVR']"
5032808,0.0,0.7898931244120057,IL1DR,L2,IL1DR,"['RIPR', 'BWMDR02', 'RMDVR']"
5032802,0.0,0.7240585058319702,IL1DR,L2,IL1DR,"['RMDVR', 'BWMDR04', 'BWMDR02']"
5032774,0.0,0.8069061416603683,IL1DR,L2,IL1R,"['RMDVR', 'BWMDR02', 'IL1DR', 'RMDDL']"
5032426,0.0,0.5640643987592254,IL1DR,L2,CEPDR,"['AVAR', 'URYDR', 'RICR', 'OLQDR', 'IL1DR']"
5032423,0.0,0.6077461358996875,IL1DR,L2,CEPDR,"['OLQDR', 'IL1DR']"
7182585,0.0226020643808739,0.8325693190816015,IL1DR,L1 8hr,URADR,"['IL1DR', 'RMER', 'RIPR', 'BWMDR01']"
7182581,0.1042088844469134,0.8325693190816015,IL1DR,L1 8hr,URADR,"['IL1DR', 'RIPR', 'RMER', 'BWMDR02']"
6646740,0.1126172610233699,0.8325693190816015,IL1DR,L1 8hr,IL1R,"['RMDVR', 'BWMDR02', 'IL1DR', 'RMDDL']"
6646715,0.0018466945828661,0.8325693190816015,IL1DR,L1 8hr,IL1DR,"['RIPR', 'RMDVR', 'BWMDR01']"
6646714,0.0123629822750371,0.8325693190816015,IL1DR,L1 8hr,IL1DR,[]
6646713,0.0150504806068799,0.8325693190816015,IL1DR,L1 8hr,IL1DR,"['RMDVR', 'BWMDR02']"
6646712,0.0207076025687894,0.8325693190816015,IL1DR,L1 8hr,IL1DR,"['BWMDR01', 'RIPR', 'RMDVR']"
6646711,0.0816790967709214,0.8325693190816015,IL1DR,L1 8hr,IL1DR,"['RMDVR', 'BWMDR02', 'RMER', 'RIPR']"
6646709,0.1107867658287935,0.8325693190816015,IL1DR,L1 8hr,IL1DR,"['RMDDL', 'BWMDR02', 'RMDVR']"
6375490,0.0,0.6421717295604843,IL1DR,L1 8hr,CEPDR,"['IL1DR', 'OLQDR', 'RICR']"
7125199,0.024170756062183,0.8641569787134928,IL1DR,L1 0hr,IL1DR,"['RMDVR', 'BWMDR01', 'RIPR']"
7125198,0.0,0.8800395146515226,IL1DR,L1 0hr,IL1DR,"['RMDVR', 'RIPR', 'BWMDR02', 'IL1R']"
7185687,0.0495074439665,0.8016462590021042,IL1DR,L3,URYDR,"['IL1DR', 'RMDVR']"
7185680,0.0,0.7983220655370856,IL1DR,L3,URYDR,"['RMDVR', 'IL1DR', 'OLQDR']"
7184351,0.0495074439665,0.8016462590021042,IL1DR,L3,OLQDR,"['IL1DR', 'RMER']"
7184325,0.0704347836278495,0.754834286305532,IL1DR,L3,OLLR,"['RMDVR', 'IL1DR']"
7184169,0.0,0.6690810069646785,IL1DR,L3,IL2DR,"['RIPR', 'IL1DR', 'URADR', 'IL1DR']"
7184169,0.0670545681454357,0.7263603237587262,IL1DR,L3,IL2DR,"['RIPR', 'IL1DR', 'URADR', 'IL1DR']"
7184168,0.0570534192426319,0.8016462590021042,IL1DR,L3,IL2DR,"['IL1DR', 'RIPR']"
7184085,0.0447265400400859,0.7263603237587262,IL1DR,L3,IL1DR,"['BWMDR01', 'RMDVR']"
7184083,0.0,0.6778730140111375,IL1DR,L3,IL1DR,"['BWMDR01', 'BWMDR02', 'RMDVR']"
7184081,0.0,0.695624142123564,IL1DR,L3,IL1DR,"['BWMDR02', 'BWMDR01', 'RMDVR']"
7184080,0.0,0.7705274268349448,IL1DR,L3,IL1DR,"['RMDVR', 'RMER', 'RIPR', 'BWMDR02']"
7184079,0.0,0.7859154215369429,IL1DR,L3,IL1DR,"['BWMDR02', 'RMER']"
7184078,0.0495074439665,0.8016462590021042,IL1DR,L3,IL1DR,"['RMDVR', 'BWMDR01', 'RIPR']"
7183926,0.0,0.5518042436274757,IL1DR,L3,CEPDR,"['IL1DR', 'OLQDR']"
7183925,0.0,0.5772857416616198,IL1DR,L3,CEPDR,"['OLQDR', 'IL1DR']"
7183922,0.0,0.5296157635942964,IL1DR,L3,CEPDR,"['URYDR', 'IL1DR', 'OLQDR', 'RICR']"
7183918,0.0,0.5953784574660255,IL1DR,L3,CEPDR,"['OLQDR', 'IL1DR']"
8462429,0.0,0.5555420530579147,IL1DR,TEM adult,PVR,"['IL1DR', 'RIPR']"
8469084,0.0,0.7441120730553995,IL1DR,TEM adult,URYDR,"['IL1DR', 'RMDVR']"
8469083,0.0,0.752199884086617,IL1DR,TEM adult,URYDR,"['IL1DR', 'RMDVR']"
8469081,0.0,0.7549559326421347,IL1DR,TEM adult,URYDR,"['IL1DR', 'RMDVR']"
8469079,0.0,0.7664022511403805,IL1DR,TEM adult,URYDR,"['IL1DR', 'RMDVR']"
8469078,0.0,0.7664022511403805,IL1DR,TEM adult,URYDR,"['IL1DR', 'RMDVR']"
8468878,0.0763011570021668,0.7862626109334594,IL1DR,TEM adult,URADR,"['RMED', 'BWMDR04', 'BWMDR01', 'BWMDR02', 'IL1DR']"
8468025,0.0645959841176287,0.7085606284047895,IL1DR,TEM adult,RMDDL,"['BWMDR01', 'IL1DR']"
8462427,0.0,0.581891622731603,IL1DR,TEM adult,PVR,"['RIPR', 'IL1DR']"
8453345,0.0383095698317012,0.7862626109334594,IL1DR,TEM adult,OLQDR,"['RMER', 'IL1DR']"
8448552,0.0,0.5433453865326018,IL1DR,TEM adult,IL2DR,"['RIPR', 'IL1DR']"
8448535,0.0,0.5643103733100596,IL1DR,TEM adult,IL2DR,"['RIPR', 'IL1DR']"
8448488,0.0,0.6026619597523707,IL1DR,TEM adult,IL2DR,"['RIPR', 'IL1DR']"
8448475,0.0,0.6530957974431861,IL1DR,TEM adult,IL2DR,"['IL1DR', 'RIPR', 'OLQDR']"
8448460,0.0430897754861714,0.7085606284047895,IL1DR,TEM adult,IL2DR,"['IL1DR', 'RMDVR', 'OLQDR']"
8448457,0.0051476074023869,0.7862626109334594,IL1DR,TEM adult,IL2DR,"['IL1DR', 'RIPR']"
8448430,0.06591207906627,0.7862626109334594,IL1DR,TEM adult,IL2DR,"['RIPR', 'IL1DR', 'RMER']"
8444962,0.0,0.5454963478309014,IL1DR,TEM adult,IL1DR,['PVR']
8444925,0.0477631165283451,0.7085606284047895,IL1DR,TEM adult,IL1DR,"['BWMDR01', 'BWMDR03', 'RMDVR']"
8444923,0.0,0.5689925131955443,IL1DR,TEM adult,IL1DR,"['PVR', 'RIPR']"
8444910,0.0270557187202281,0.7085606284047895,IL1DR,TEM adult,IL1DR,"['RMDVR', 'BWMDR01']"
8444900,0.0601814737484611,0.7085606284047895,IL1DR,TEM adult,IL1DR,"['RMDDL', 'BWMDR01', 'BWMDR03']"
8444893,0.0,0.724508332069522,IL1DR,TEM adult,IL1DR,"['RMDVR', 'BWMDR01', 'RIPR']"
8444876,0.0,0.748062811750687,IL1DR,TEM adult,IL1DR,"['BWMDR01', 'BWMDR02', 'BWMDR04', 'RMDVR']"
8417810,0.0,0.5575980556319193,IL1DR,TEM adult,CEPDR,"['IL1DR', 'OLQDR']"
8417804,0.0,0.5923014868023673,IL1DR,TEM adult,CEPDR,"['IL1DR', 'OLQDR']"
8417802,0.0,0.6026619597523707,IL1DR,TEM adult,CEPDR,"['IL1DR', 'OLQDR']"
8462637,0.0361589173407804,0.8445975173709646,IL1DR,SEM adult,URYDR,"['IL1DR', 'RMDVR']"
8472062,0.0526971255200627,0.8445975173709646,IL1DR,SEM adult,OLLR,"['RMDVR', 'IL1DR']"
8472055,0.0,0.982412785103802,IL1DR,SEM adult,IL2R,"['IL1DR', 'ADER']"
8471949,0.0,0.7734896585422785,IL1DR,SEM adult,URYDR,"['RMDVR', 'IL1DR']"
8471948,0.0696795168026918,0.7100001066470485,IL1DR,SEM adult,URYDR,"['RMDVR', 'IL1DR']"
8471815,0.0,0.6306820240397567,IL1DR,SEM adult,IL1DR,"['RIPR', 'BWMDR02', 'BWMDR04']"
8470997,0.0,0.7554262152777297,IL1DR,SEM adult,URYDR,"['RMDVR', 'RMDVR', 'IL1DR']"
8470994,0.0,0.7337641727731773,IL1DR,SEM adult,URYDR,"['RMDVR', 'RMDVR', 'IL1DR']"
8470836,0.0548746277780078,0.7100001066470485,IL1DR,SEM adult,URADR,"['IL1DR', 'BWMDR03', 'BWMDR01']"
8470833,0.0439462158568542,0.7100001066470485,IL1DR,SEM adult,URADR,"['BWMDR03', 'IL1DR', 'BWMDR01', 'RMER']"
8470829,0.0,0.7337641727731773,IL1DR,SEM adult,URADR,"['RMED', 'RMER', 'IL1DR', 'RIPR', 'BWMDR01', 'BWMDR02']"
8469302,0.0,0.5354178592355147,IL1DR,SEM adult,PVR,"['IL1DR', 'RIPR']"
8468184,0.0,0.9941583596872824,IL1DR,SEM adult,IL2R,"['IL1DR', 'ADER']"
8468182,0.1118238244977758,0.8206727944419625,IL1DR,SEM adult,IL2R,"['URADR', 'RMEL', 'IL1DR']"
8468078,0.0269747238734054,0.7100001066470485,IL1DR,SEM adult,IL2DR,"['IL1DR', 'OLQDR']"
8468077,0.0,0.7114205041675049,IL1DR,SEM adult,IL2DR,"['IL1DR', 'IL1DR', 'RIPR']"
8468077,0.0436982246313314,0.6691975320116238,IL1DR,SEM adult,IL2DR,"['IL1DR', 'IL1DR', 'RIPR']"
8468057,0.0,0.7337641727731773,IL1DR,SEM adult,IL2DR,"['RIPR', 'IL1DR', 'IL1DR', 'RMER']"
8468057,0.0603324316764123,0.6691975320116238,IL1DR,SEM adult,IL2DR,"['RIPR', 'IL1DR', 'IL1DR', 'RMER']"
8468055,0.0,0.7590631857719248,IL1DR,SEM adult,IL2DR,"['RMER', 'RIPR', 'IL1DR']"
8467797,0.0,0.7625345095219518,IL1DR,SEM adult,IL1R,"['BWMDR01', 'BWMDR02', 'RMDVR', 'IL1DR', 'BWMDR01']"
8467643,0.0336776161259756,0.7100001066470485,IL1DR,SEM adult,IL1DR,"['RMDVR', 'BWMDR01']"
8467642,0.0930554860576653,0.7100001066470485,IL1DR,SEM adult,IL1DR,"['BWMDR01', 'RMDVR']"
8467634,0.0439462158568542,0.7100001066470485,IL1DR,SEM adult,IL1DR,"['RIPR', 'RMER', 'BWMDR01', 'RMDVR']"
8467632,0.1105588965469734,0.7100001066470485,IL1DR,SEM adult,IL1DR,"['BWMDR01', 'RMDVR']"
8467631,0.0430244544968956,0.8445975173709646,IL1DR,SEM adult,IL1DR,"['IL1R', 'RMDVR', 'OLLR']"
8467629,0.0474737886146721,0.8445975173709646,IL1DR,SEM adult,IL1DR,"['OLLR', 'RMDVR', 'IL1R']"
8467628,0.0489038488147072,0.8445975173709646,IL1DR,SEM adult,IL1DR,"['RMDVR', 'OLLR', 'IL1R']"
8467627,0.0256444451132701,0.7100001066470485,IL1DR,SEM adult,IL2DR,"['RIPR', 'IL1DR']"
8467626,0.0,0.624630791730865,IL1DR,SEM adult,IL1DR,"['BWMDR01', 'RMDVR']"
8467625,0.0,0.6550668048200482,IL1DR,SEM adult,IL1DR,"['BWMDR01', 'BWMDR02', 'BWMDR04', 'RMDVR']"
8467607,0.0,0.7376718907820441,IL1DR,SEM adult,IL1DR,"['RIPR', 'RMDVR', 'RMER', 'BWMDR02']"
8462568,0.0502341275748425,0.8445975173709646,IL1DR,SEM adult,OLLR,"['IL1DR', 'RMDVR']"
8462563,0.0221797909101924,0.8445975173709646,IL1DR,SEM adult,OLLR,"['RMDVR', 'IL1DR']"
8462546,0.1034796795382647,0.7100001066470485,IL1DR,SEM adult,OLLR,"['CEPDR', 'IL1DR', 'RMDVR']"
8462019,0.0,0.5680325535377053,IL1DR,SEM adult,CEPDR,"['OLQDR', 'IL1DR']"
8462004,0.0709138916709971,0.8445975173709646,IL1DR,SEM adult,CEPDR,"['IL1DR', 'OLLR', 'RMDVR']"
8461997,0.0,0.4638667070534825,IL1DR,SEM adult,CEPDR,"['IL1DR', 'OLQDR']"
8461996,0.0,0.4927069497712066,IL1DR,SEM adult,CEPDR,"['OLQDR', 'IL1DR']"
8461995,0.0,0.5080782271080557,IL1DR,SEM adult,CEPDR,"['OLQDR', 'IL1DR']"
8461994,0.0,0.5518759346916433,IL1DR,SEM adult,CEPDR,"['OLQDR', 'IL1DR']"
8461987,0.0,0.4284681728378538,IL1DR,SEM adult,CEPDR,"['AVDR', 'AVJR', 'IL1DR', 'URYDR']"
8461980,0.1153394371452798,0.7100001066470485,IL1DR,SEM adult,CEPDR,"['OLLR', 'RMDVR', 'URYDR', 'IL1DR']"
9190339,0.0,0.505525539931104,IL1DR,N2 dauer (Stigloher2),URBR,"['OLQDR', 'IL1DR', 'AIMR']"
9008223,0.0,0.9025695357566772,IL1DR,N2 dauer (Stigloher2),IL1DR,['SMDDL']
9601347,0.1000857907590256,0.818240914330072,IL1DR,N2 dauer (Stigloher3),SMDDL,['IL1DR']
9596280,0.0,0.484315991666736,IL1DR,N2 dauer (Stigloher3),PVNLR,['IL1DR']
9595843,0.1083679856559191,0.818240914330072,IL1DR,N2 dauer (Stigloher3),IL1DR,['SMDDL']
9595838,0.1150616150745115,0.7278807687311821,IL1DR,N2 dauer (Stigloher3),IL1DR,"['URAVR', 'RMHL', 'URBR']"
9595835,0.0,0.7539957247640625,IL1DR,N2 dauer (Stigloher3),IL1DR,['BWMDR02']
9595832,0.0,0.6798074402025804,IL1DR,N2 dauer (Stigloher3),IL1DR,['RMDDL']
9585101,0.0,0.8656745535321774,IL1DR,L1 5hr,IL1DR,"['BWMDR02', 'RMER', 'RIPR']"
9585100,0.0,0.8403380324257127,IL1DR,L1 5hr,IL1DR,"['RMDVR', 'BWMDR02', 'RIPR']"
9585098,0.0,0.785234059007374,IL1DR,L1 5hr,IL1DR,"['RMDVR', 'BWMDR02', 'GLRDR']"
9585097,0.0,0.878167036247439,IL1DR,L1 5hr,IL1DR,"['RIPR', 'BWMDR01', 'RMDVR', 'RMER']"
11440900,0.0,0.6949745204295424,IL1DR,daf-2 dauer,IL1DR,"['BWMDR01', 'RMDDL', 'BWMDR02']"
11439528,0.1069882577013428,0.7607397263925769,IL1DR,daf-2 dauer,IL1DR,"['RMDVR', 'RMHL', 'URADR']"
11439406,0.0,0.8800041763404324,IL1DR,daf-2 dauer,CEPDR,"['IL1DR', 'RMDVR', 'OLLR']"
11436630,0.0,0.984225103965238,IL1DR,daf-2 dauer,RMEV,"['IL1DR', 'SMDDL', 'BWMDL01']"
10942837,0.0,0.709141138224155,IL1DR,daf-2 dauer,RMDDL,"['BWMDR04', 'IL1DR', 'BWMDR02']"
10934598,0.0,0.7224636472404196,IL1DR,daf-2 dauer,OLQDR,"['IL1DR', 'RMDDL']"
10934470,0.0,0.9134641788022732,IL1DR,daf-2 dauer,IL1DR,['SMDDL']
10934469,0.157089807068486,0.7607397263925769,IL1DR,daf-2 dauer,IL1DR,"['RIBR', 'CEPDR', 'SMDDL']"
10934468,0.0575984762100798,0.8089241394339952,IL1DR,daf-2 dauer,IL1DR,"['BWMDR01', 'RMDVR']"
10934466,0.1164683636393289,0.7607397263925769,IL1DR,daf-2 dauer,IL1DR,"['URBR', 'RMHL']"
10934465,0.0,0.7458421177694052,IL1DR,daf-2 dauer,IL1DR,"['RMER', 'RMDVR']"
10934464,0.0,0.8959950662662017,IL1DR,daf-2 dauer,IL1DR,['SMDDL']
10934461,0.0,0.93372094376582,IL1DR,daf-2 dauer,IL1DR,['SMDDL']
