,dist_from_root,length,project,leafnode,n_synapse
0,0.10701940529413931,0.0018114086776133615,daf-2 dauer,10593314,0
1,0.1367216614736501,0.004128529588055899,daf-2 dauer,10596092,0
2,0.14404300905626294,0.0050318352576867115,daf-2 dauer,10593313,0
3,0.21376154872671604,0.002761077158404205,daf-2 dauer,10593311,0
4,0.21654890059174914,0.0007170952486172786,N2 dauer (Stigloher2),8954494,0
5,0.22318597587569908,0.00326011622346562,daf-2 dauer,10593310,0
6,0.2431028647662297,0.0028249053605015344,daf-2 dauer,10593309,0
7,0.2877742913481453,0.00016995078132636107,N2 dauer (Stigloher2),8624168,0
8,0.2990859610584047,0.0,N2 dauer (Stigloher2),8624143,0
9,0.4113081468657054,0.01226589693377593,N2 dauer (Stigloher2),9010024,0
10,0.4160609558083751,0.01724877823449333,N2 dauer (Stigloher2),9002116,0
11,0.4167286660214698,0.005237698287194087,N2 dauer (Stigloher3),9501986,0
12,0.42125406224543077,0.005282224917577102,N2 dauer (Stigloher3),9529373,0
13,0.43875919342428155,0.0026368895140634944,daf-2 dauer,10593308,0
14,0.47514570194003414,0.0019265666973720518,daf-2 dauer,10593307,0
15,0.4762284695745253,0.0046898830520353315,daf-2 dauer,10596088,0
16,0.4940762667259453,0.0019268336058167195,daf-2 dauer,15139454,0
17,0.5013948816199613,0.002384207533783911,N2 dauer (Stigloher3),9589051,0
18,0.5542893724204364,0.01249862654218141,N2 dauer (Stigloher2),8632783,0
19,0.5775176311119405,0.007772566998527295,N2 dauer (Stigloher2),9187032,0
20,0.5846511713856851,0.0034114628302185216,N2 dauer (Stigloher3),9589210,0
21,0.618025222129303,0.007096559117154795,N2 dauer (Stigloher2),8623858,0
22,0.6470856580087785,0.017303765546350304,N2 dauer (Stigloher3),9503157,0
23,0.6523193472381401,0.014860662155448824,N2 dauer (Stigloher2),8965828,0
24,0.6802701799173534,0.015557919765837556,N2 dauer (Stigloher3),9588404,0
25,0.6816875974112974,0.033919437044884995,N2 dauer (Stigloher2),8965728,0
26,0.6864254283373552,0.056512062910557014,N2 dauer (Stigloher3),16677076,0
27,0.7125767811850706,0.04664197355755969,N2 dauer (Stigloher3),16677100,0
28,0.8020779434085282,0.005467432715363305,daf-2 dauer,10593306,0
29,0.8227399719129265,0.006494415498909713,N2 dauer (Stigloher3),9503072,0
30,0.8276127735691318,0.010990301544236478,daf-2 dauer,10596086,0
31,0.8333436784879104,0.0018245994885690887,daf-2 dauer,10593305,0
32,0.839172523124554,0.0028299804601093124,daf-2 dauer,10593304,0
33,0.9847560820581234,0.22463464520531246,N2 dauer (Stigloher2),8979717,0
