,dist_from_root,length,project,leafnode,n_conns
0,0.08589391098301542,0.008524343069544188,daf-2 dauer,10588340.0,0
1,0.25753880990790773,0.005145338243616893,daf-2 dauer,10588339.0,0
2,0.3083478142218175,0.0044102736668782784,daf-2 dauer,10621840.0,0
3,0.3119373595394214,0.004820747804560038,daf-2 dauer,10588338.0,0
4,0.3842549239755674,0.007694326290691256,N2 dauer (Stigloher2),8713169.0,0
5,0.5235070964270873,0.013075209300873507,daf-2 dauer,10621839.0,0
6,0.5508018901106332,0.004985041418140508,daf-2 dauer,10588337.0,0
7,0.5533358033099155,0.22732705243081505,L1 16hr,4247968.0,1
8,0.6313549787324518,0.08969437029404545,L1 16hr,5064925.0,0
9,0.6691975320116238,0.060332431676412314,SEM adult,8397236.0,2
10,0.7074370066584027,0.17821196256343833,SEM adult,8337498.0,15
11,0.7085606284047895,0.10436510296285548,TEM adult,8193928.0,5
12,0.7100001066470485,0.15219487721812586,SEM adult,8472274.0,8
13,0.7195834179278775,0.083975489974515,N2 dauer (Stigloher3),9004430.0,0
14,0.7256033622618286,0.18548428987607932,N2 dauer (Stigloher3),9004697.0,2
15,0.726222728086092,0.10886348228209575,N2 dauer (Stigloher3),9004449.0,0
16,0.7263603237587262,0.08592421022394026,L3,7118535.0,2
17,0.7274337793122118,0.14612683260190013,N2 dauer (Stigloher2),8965876.0,0
18,0.7278807687311821,0.21568376666053943,N2 dauer (Stigloher3),9004367.0,1
19,0.73246310420347,0.0878164339948929,L2,4846031.0,0
20,0.7373385835608615,0.13876202476163843,TEM adult,8193852.0,0
21,0.7408050153477317,0.1946159863250346,N2 dauer (Stigloher2),8712584.0,1
22,0.7461983442160613,0.22422931019641043,L1 16hr,4363521.0,3
23,0.7495186385800298,0.11965047121443352,N2 dauer (Stigloher2),8978745.0,1
24,0.749596284475336,0.030289681437653825,L1 5hr,9563497.0,1
25,0.7512867280474586,0.06873440990303507,L1 8hr,6352244.0,0
26,0.751445587074416,0.08388406679216069,TEM adult,8159266.0,6
27,0.754834286305532,0.1613877368939318,L3,7118513.0,0
28,0.7579887425207265,0.18384070533728764,L2,4846057.0,0
29,0.7607397263925769,0.20264564346125885,daf-2 dauer,10621836.0,4
30,0.7676953869241196,0.10436673204025697,L2,4818721.0,1
31,0.7719106981073974,0.13946204448523752,L1 8hr,6352297.0,5
32,0.7721903077048561,0.1223073792815831,TEM adult,8159233.0,1
33,0.7794121864744457,0.03939136462765951,L1 5hr,9563492.0,0
34,0.7832708273903943,0.1793384020153353,daf-2 dauer,10588336.0,7
35,0.7862626109334594,0.08936319326177947,TEM adult,8193892.0,2
36,0.8069061416603683,0.15599966890767936,L2,4818321.0,1
37,0.8089241394339952,0.06145837633194786,daf-2 dauer,10621752.0,1
38,0.818240914330072,0.13323220302947725,N2 dauer (Stigloher3),9585981.0,2
39,0.818755461355374,0.15232864772439184,L3,7123892.0,2
40,0.8204246647403877,0.058313383715422225,L1 0hr,6748447.0,0
41,0.8325693190816015,0.14507589448854685,L1 8hr,6326099.0,9
42,0.8403380324257127,0.07853446036596085,L1 5hr,9564282.0,2
43,0.8405379311615433,0.08340608664706632,N2 dauer (Stigloher3),9595830.0,0
44,0.8432568547006878,0.030981699142831835,L1 8hr,6326069.0,0
45,0.8445975173709646,0.07091389167099711,SEM adult,8462007.0,5
46,0.8528805602678102,0.014839124187680314,N2 dauer (Stigloher2),8712600.0,0
47,0.8533878896737631,0.03770216286075362,daf-2 dauer,10588303.0,0
48,0.8641569787134928,0.06116039308346156,L1 0hr,6748201.0,1
49,0.870859830954537,0.10230495334883415,N2 dauer (Stigloher2),9010067.0,0
50,0.9064895517503688,0.07276843031593905,L1 16hr,4363563.0,0
51,0.9137868970519696,0.036461997853937424,daf-2 dauer,10588287.0,2
52,0.9163365555606726,0.046253062561414024,N2 dauer (Stigloher3),9590618.0,1
53,0.9521407155470899,0.02585284039236851,daf-2 dauer,10588295.0,3
54,0.9543064973819527,0.025781583697287246,N2 dauer (Stigloher2),8712575.0,0
