,dist_from_root,length,project,leafnode,n_conns
0,0.0,0.3829689714794058,L1 16hr,5066761.0,71
1,0.012096792257961975,0.05720316161281138,L1 16hr,4235657.0,8
2,0.10926496265990251,0.006044062529683138,L1 8hr,6327105.0,0
3,0.21589664272989068,0.023804839707854263,daf-2 dauer,10588085.0,0
4,0.396872509473368,0.008739086037836767,N2 dauer (Stigloher3),9520453.0,0
5,0.42174152139220283,0.006856573103600759,N2 dauer (Stigloher3),9517477.0,0
6,0.4945634392330555,0.08082761893378888,L1 16hr,4235646.0,8
7,0.5312132050673,0.010324216571946333,daf-2 dauer,10588086.0,0
8,0.5444567383392906,0.07955540082928514,SEM adult,8391149.0,6
9,0.5631687336095822,0.01661626444024048,daf-2 dauer,10621266.0,0
10,0.5749280750583523,0.050702434380987774,N2 dauer (Stigloher3),16686335.0,0
11,0.5897453231469032,0.03842892208031196,L1 16hr,4222626.0,2
12,0.6282334844765828,0.09009044660715676,daf-2 dauer,10621262.0,7
13,0.6330566456434698,0.045797235096164346,L1 5hr,9562175.0,0
14,0.6554672498965538,0.11566823543978255,daf-2 dauer,10588116.0,6
15,0.7082650579315842,0.027821195231846688,daf-2 dauer,10621232.0,2
16,0.7150928965054365,0.04082369739064131,daf-2 dauer,10588123.0,3
17,0.7401058776943732,0.060038960470136134,L1 8hr,6327058.0,0
18,0.8012591460256959,0.08395129164692615,L1 8hr,6371839.0,0
19,0.804455740141209,0.07064205827828486,L2,4854428.0,0
20,0.8099757327354757,0.07354352487346438,N2 dauer (Stigloher3),9517447.0,1
21,0.8129712783819224,0.07377663701845617,L2,4934252.0,1
22,0.8166250065694829,0.008803568583068673,N2 dauer (Stigloher3),9517452.0,0
23,0.8262902490968652,0.044256848034708425,L2,4934267.0,1
24,0.840823465908421,0.0259416737996834,N2 dauer (Stigloher3),9520452.0,0
25,0.8417895209570067,0.03908028152579809,N2 dauer (Stigloher3),9520437.0,1
26,0.8520972708600744,0.09263756669195602,L1 16hr,4235632.0,0
27,0.8521300525782878,0.07845171396971358,L3,7124440.0,0
28,0.856227867909112,0.007759382841709226,daf-2 dauer,10621204.0,0
29,0.8770854922991456,0.0653648193681313,L1 5hr,9560461.0,0
30,0.8830364777923031,0.07383079281810613,daf-2 dauer,10588159.0,1
31,0.8950293670168312,0.0867882781893824,L1 16hr,4222695.0,1
32,0.9037303169793616,0.05954040990712987,L1 16hr,4235607.0,11
33,0.9092164724289833,0.07811276196726094,daf-2 dauer,10621226.0,1
34,0.9193804256347102,0.036718202378607276,L1 5hr,9562136.0,0
35,0.9242917638806812,0.0158144740341964,N2 dauer (Stigloher2),9666376.0,0
36,0.9311185025072698,0.005490572477504045,N2 dauer (Stigloher3),9586068.0,0
37,0.9323034756480906,0.005087913480956827,N2 dauer (Stigloher2),10894383.0,0
38,0.9371800985257966,0.055648196278518275,L1 5hr,9562167.0,0
39,0.9398982530252517,0.026605367938723038,L1 0hr,6750930.0,0
40,0.9472449683224919,0.051021374577598644,L1 0hr,7125252.0,2
41,0.9548721778486614,0.010039184597085832,TEM adult,8157915.0,1
42,0.9688290744326276,0.008605721397183795,N2 dauer (Stigloher3),9586081.0,0
43,0.9790208034660379,0.02084880822721069,TEM adult,8154601.0,1
