,dist_from_root,length,project,leafnode,n_conns
0,0.021626537692505304,0.015006436487765425,daf-2 dauer,10579579.0,0
1,0.08718778267720977,0.01611335114954752,N2 dauer (Stigloher2),8954337.0,1
2,0.10244620365819844,0.0010030917447532036,N2 dauer (Stigloher2),8784179.0,0
3,0.13282205270012687,0.010633079223149768,N2 dauer (Stigloher3),16679488.0,0
4,0.1368819518381947,0.009879829301591654,N2 dauer (Stigloher2),8784476.0,0
5,0.13924616517308697,0.046373158339416076,daf-2 dauer,10579576.0,0
6,0.14762731715678826,0.036877376089959286,N2 dauer (Stigloher2),8784173.0,0
7,0.18064254829860268,0.0077180917795306786,N2 dauer (Stigloher3),9598664.0,0
8,0.19019976519313642,0.038336009531873695,L1 8hr,6374799.0,1
9,0.3137604043331755,0.01121425384462038,SEM adult,8386724.0,1
10,0.32308765816952534,0.02754590115187959,daf-2 dauer,10579115.0,1
11,0.3736735030306003,0.02964926131662152,daf-2 dauer,10579121.0,1
12,0.3848067934081609,0.022634911475704508,N2 dauer (Stigloher2),8784129.0,0
13,0.3896650808365167,0.0054470359084257715,N2 dauer (Stigloher2),8784435.0,0
14,0.45212126528830576,0.04992469854556011,L1 0hr,6683577.0,1
15,0.46641602458412906,0.014295203831132615,daf-2 dauer,10579485.0,0
16,0.47657245156613703,0.014688295266211873,N2 dauer (Stigloher2),8784123.0,0
17,0.49417268816100585,0.03614602828356996,daf-2 dauer,10579138.0,2
18,0.5045239726710973,0.06535661837352465,N2 dauer (Stigloher3),16682788.0,0
19,0.5070905683606874,0.06287575102196657,N2 dauer (Stigloher2),8784076.0,0
20,0.5245468192302605,0.023481538198890938,daf-2 dauer,10579150.0,5
21,0.5282120327371387,0.04733060669845422,N2 dauer (Stigloher2),8784080.0,0
22,0.5462266419702384,0.029108426864808478,daf-2 dauer,10579498.0,0
23,0.5995125429132697,0.006140580327497952,daf-2 dauer,10579251.0,0
24,0.6549729399799168,0.029665464765410182,daf-2 dauer,10579513.0,1
25,0.6620397575551742,0.016247952491478975,N2 dauer (Stigloher3),9519458.0,0
26,0.7124757374913989,0.0033340663180416383,N2 dauer (Stigloher2),8784108.0,0
27,0.7165813657638486,0.01841081761942466,N2 dauer (Stigloher2),9001721.0,2
28,0.760351763140499,0.008561024806856625,N2 dauer (Stigloher3),9598207.0,1
29,0.8278813080901317,0.009679875432452056,N2 dauer (Stigloher3),16679286.0,0
30,0.9125343615989031,0.03618840669055333,N2 dauer (Stigloher2),8759319.0,1
31,0.9170019661877212,0.075270676487803,N2 dauer (Stigloher2),8759301.0,1
32,0.9202976843145765,0.012636232585566466,N2 dauer (Stigloher3),16679470.0,0
33,0.9225614108879646,0.0037580410515551574,L1 16hr,4249051.0,0
34,0.9320854053113561,0.020560431327596048,N2 dauer (Stigloher2),8945997.0,1
35,0.944664935982069,0.03971732723586348,N2 dauer (Stigloher3),9188275.0,1
36,0.9452210066145795,0.05005371238495048,L3,7083315.0,4
37,0.9647820323813876,0.03424615738889788,TEM adult,8195645.0,0
38,0.9733941697898282,0.012081268308109287,L1 16hr,4249050.0,0
39,0.9813253274056889,0.016442312024274354,N2 dauer (Stigloher2),8503009.0,2
